[2025-09-19 13:15:41] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:41] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:41] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:15:46] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:46] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:46] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:46] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:15:51] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:51] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:51] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:51] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:15:56] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:56] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:56] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:15:56] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:01] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:01] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:01] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:01] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:06] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:06] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:06] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:06] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:11] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:11] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:11] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:11] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:16] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:16] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:16] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:16] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:21] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:21] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:21] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:21] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:26] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:26] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:26] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:26] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:31] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:31] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:31] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:31] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:36] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:36] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:36] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:36] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:41] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:41] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:41] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:41] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:46] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:46] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:46] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:46] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:51] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:51] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:51] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:51] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:16:56] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:56] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:56] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:16:56] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:01] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:01] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:01] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:01] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:06] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:06] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:06] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:06] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:11] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:11] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:11] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:11] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:16] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:16] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:16] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:16] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:21] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:21] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:21] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:21] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:26] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:26] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:26] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:26] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:31] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:31] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:31] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:31] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:36] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:36] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:36] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:36] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
[2025-09-19 13:17:41] 127.0.0.1 - Received <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:41] 127.0.0.1 - state_S1 = 0 before processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:41] 127.0.0.1 - state_S1 = 0 after processing <unknown, S1, request id: 0, heartbeat>
[2025-09-19 13:17:41] 127.0.0.1 - Sending <unknown, S1, request id: 0, reply>
